City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
bom jesus da lapa,-13.255,-43.4181,69.6,97,97,3.49,BR,1640475316
vanino,49.0869,140.2543,-9.47,74,80,13.27,RU,1640475317
pacific grove,36.6177,-121.9166,50.52,88,90,4.0,US,1640475219
abnub,27.2696,31.1511,48.42,58,0,5.41,EG,1640475320
butembo,0.15,29.2833,57.85,97,100,1.61,CD,1640475320
maues,-3.3836,-57.7186,74.86,96,98,1.72,BR,1640475321
riyadh,24.6877,46.7219,53.74,59,100,8.68,SA,1640475323
ushtobe,45.2514,77.9838,32.34,75,96,6.42,KZ,1640475324
srandakan,-7.9386,110.2506,78.35,87,100,8.12,ID,1640475325
mount isa,-20.7333,139.5,87.57,25,100,8.05,AU,1640475076
labrea,-7.2586,-64.7981,79.41,86,98,3.13,BR,1640475326
kodinsk,58.6881,99.1844,-16.37,96,47,0.67,RU,1640475327
east london,-33.0153,27.9116,69.73,91,100,12.97,ZA,1640475328
inongo,-1.95,18.2667,71.35,95,23,4.38,CD,1640475329
acajutla,13.5928,-89.8275,78.87,62,8,5.66,SV,1640475330
mikhaylovka,50.06,43.2379,29.79,95,100,8.5,RU,1640475331
vao,-22.6667,167.4833,77.79,76,92,9.57,NC,1640475331
krasavino,60.9614,46.4814,14.14,94,100,7.94,RU,1640475332
topeka,39.0483,-95.678,53.58,64,1,3.44,US,1640474951
keti bandar,24.1447,67.4497,71.82,82,39,7.63,PK,1640475334
hobyo,5.3505,48.5268,77.29,74,42,11.74,SO,1640475334
kandrian,-6.2167,149.55,86.29,66,63,5.03,PG,1640475335
masyaf,35.0653,36.3406,37.45,79,1,2.57,SY,1640475336
lamar,33.6668,-95.5836,74.86,53,1,6.91,US,1640475337
santa rosa,14.3122,121.1114,79.11,74,77,14.65,PH,1640475289
lichinga,-13.3128,35.2406,71.69,49,20,5.75,MZ,1640475339
tibagi,-24.5094,-50.4136,71.6,47,29,2.93,BR,1640475339
goundam,16.4145,-3.6708,72.72,12,100,6.04,ML,1640475340
geraldton,-28.7667,114.6,97.12,54,6,8.05,AU,1640475341
oranjemund,-28.55,16.4333,64.54,73,37,3.76,NA,1640475342
dalbandin,28.8947,64.4101,57.72,33,99,7.56,PK,1640475343
margate,51.3813,1.3862,42.96,93,100,4.0,GB,1640475344
san patricio,28.017,-97.5169,84.61,77,94,11.07,US,1640475345
upernavik,72.7868,-56.1549,2.19,100,99,8.39,GL,1640475346
leningradskiy,69.3833,178.4167,-12.39,98,100,6.46,RU,1640475347
hurricane,37.1753,-113.2899,55.74,53,56,7.54,US,1640474813
araouane,18.9048,-3.5265,67.37,17,0,7.14,ML,1640475348
yumen,40.2833,97.2,4.96,56,13,19.3,CN,1640475349
port keats,-14.25,129.55,75.51,87,100,14.25,AU,1640475350
nyakahanga,-1.6033,31.1414,59.65,95,100,3.09,TZ,1640475351
northam,51.0333,-4.2167,52.3,96,100,7.43,GB,1640475352
virginia beach,36.8529,-75.978,66.25,66,1,16.11,US,1640474547
batagay-alyta,67.8006,130.4114,-34.01,96,20,5.28,RU,1640475414
mastung,29.7994,66.845,46.92,80,100,0.18,PK,1640475415
road town,18.4167,-64.6167,78.89,78,20,9.22,VG,1640475416
paita,-5.0892,-81.1144,72.16,83,67,16.06,PE,1640475417
consolacion del sur,22.5047,-83.5136,68.4,78,0,4.07,CU,1640475418
codrington,-38.2667,141.9667,59.29,64,100,15.1,AU,1640475419
baghdad,33.3406,44.4009,39.11,48,0,9.22,IQ,1640475323
shalinskoye,55.7228,93.7594,-10.52,96,98,3.56,RU,1640475420
key west,24.5557,-81.7826,78.8,77,20,8.05,US,1640475288
teya,60.3778,92.6267,7.86,92,100,2.06,RU,1640475421
zeya,53.75,127.2667,-15.52,91,87,0.87,RU,1640475422
pryozerne,45.2698,36.3303,49.08,86,100,25.5,UA,1640475423
bandarbeyla,9.4942,50.8122,78.62,60,99,10.78,SO,1640475424
penzance,50.1186,-5.5371,52.48,92,100,12.82,GB,1640475356
shebunino,46.4339,141.8603,16.3,86,100,27.72,RU,1640475426
romny,50.751,33.4747,15.98,96,89,4.81,UA,1640475427
wanning,18.8003,110.3967,70.25,87,100,17.78,CN,1640475428
chapais,49.7834,-74.8492,8.38,94,100,4.79,CA,1640475428
kant,27.8,79.8,55.33,53,80,3.71,IN,1640475429
qiongshan,20.0058,110.3542,64.38,94,75,13.42,CN,1640475430
kanker,20.2719,81.4931,58.37,74,0,0.43,IN,1640475431
sal rei,16.1833,-22.9167,72.16,77,16,16.84,CV,1640475432
amot,59.5714,7.9877,12.38,89,9,6.11,NO,1640475432
okhotsk,59.3833,143.3,-18.06,81,79,13.96,RU,1640475433
port lincoln,-34.7333,135.8667,63.14,64,37,17.43,AU,1640475434
aasiaat,68.7098,-52.8699,9.66,77,7,11.1,GL,1640475435
flagstaff,35.1981,-111.6513,40.78,82,90,3.0,US,1640475325
taoudenni,22.6783,-3.9836,68.97,24,0,7.76,ML,1640475436
